2025-03-26T22:26:15.387+09:00  INFO 36508 --- [main] com.example.signup.SignupApplication     : Starting SignupApplication using Java 17.0.10 with PID 36508 (C:\Users\USER\signup\signup\build\classes\java\main started by USER in C:\Users\USER\signup\signup)
2025-03-26T22:26:15.395+09:00 DEBUG 36508 --- [main] com.example.signup.SignupApplication     : Running with Spring Boot v3.2.6, Spring v6.1.8
2025-03-26T22:26:15.397+09:00  INFO 36508 --- [main] com.example.signup.SignupApplication     : No active profile set, falling back to 1 default profile: "default"
2025-03-26T22:26:16.088+09:00  INFO 36508 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-03-26T22:26:16.154+09:00  INFO 36508 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 58 ms. Found 5 JPA repository interfaces.
2025-03-26T22:26:16.704+09:00  INFO 36508 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2025-03-26T22:26:16.714+09:00  INFO 36508 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-03-26T22:26:16.715+09:00  INFO 36508 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.24]
2025-03-26T22:26:16.785+09:00  INFO 36508 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-03-26T22:26:16.785+09:00  INFO 36508 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1333 ms
2025-03-26T22:26:16.931+09:00  INFO 36508 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-26T22:26:16.993+09:00  INFO 36508 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.4.8.Final
2025-03-26T22:26:17.025+09:00  INFO 36508 --- [main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2025-03-26T22:26:17.101+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@350da119
2025-03-26T22:26:17.101+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@350da119
2025-03-26T22:26:17.101+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@350da119
2025-03-26T22:26:17.101+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@6a09484c
2025-03-26T22:26:17.101+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.NumericBooleanConverter -> org.hibernate.type.BasicTypeReference@6a09484c
2025-03-26T22:26:17.101+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration true_false -> org.hibernate.type.BasicTypeReference@34c7232c
2025-03-26T22:26:17.101+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.TrueFalseConverter -> org.hibernate.type.BasicTypeReference@34c7232c
2025-03-26T22:26:17.101+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration yes_no -> org.hibernate.type.BasicTypeReference@50ec4bfc
2025-03-26T22:26:17.102+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.YesNoConverter -> org.hibernate.type.BasicTypeReference@50ec4bfc
